model_name,class_id,class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support
controlled_all_channel_1d_cnn_small,2,Butt Wink,0.769260013940676,0.23757772684788886,0.8083333333333333,0.2610076627227637,0.7626377212530709,0.2143471406409715,360
controlled_all_channel_1d_cnn_small,3,Excessive Lean,0.8542992006878936,0.12846961890471853,0.663888888888889,0.318767398460049,0.6835277746676404,0.21595479866426492,360
controlled_all_channel_1d_cnn_small,4,Partial Squat,0.9644144030108942,0.05729154569830942,0.8833333333333333,0.2,0.9065139254012959,0.13953350282663302,360
controlled_flatten_mlp,0,Correct,0.5923638696517377,0.36163276867556887,0.7638888888888888,0.35031951905667313,0.6301944439712298,0.3237465519247456,360
controlled_flatten_mlp,1,Knee Valgus,0.897598920648566,0.21489914471377544,0.9249999999999999,0.116963907063485,0.892644022665896,0.1716615382525617,360
controlled_flatten_mlp,2,Butt Wink,0.8294482169410329,0.16877225191986364,0.6888888888888889,0.2922876986214646,0.6791747277830688,0.2050924565574894,360
controlled_flatten_mlp,3,Excessive Lean,0.6398147907360213,0.4069215837546283,0.5416666666666666,0.393788578357022,0.5571366220114449,0.38822170836159925,360
controlled_flatten_mlp,4,Partial Squat,0.811959144370135,0.2667805172900639,0.7527777777777778,0.3002185417983143,0.7638014736542799,0.27501661225582336,360
controlled_shared_1d,0,Correct,0.17676196181098142,0.2507666045672506,0.1388888888888889,0.19969111950679366,0.15278563909626863,0.22243257413393286,360
controlled_shared_1d,1,Knee Valgus,0.17122597787961735,0.2410645182508269,0.28888888888888886,0.37437190197403214,0.18089909377058452,0.21458710694557825,360
controlled_shared_1d,2,Butt Wink,0.6185732472897193,0.28787930497196157,0.6583333333333334,0.35988038136148637,0.47205930608743063,0.17808719519592775,360
controlled_shared_1d,3,Excessive Lean,0.23923390973358638,0.3145456443757358,0.15555555555555556,0.20336672464136807,0.15727584402561895,0.18199011246130237,360
controlled_shared_1d,4,Partial Squat,0.6062721596977764,0.39877002765830205,0.5083333333333333,0.42270622843241323,0.4399240017009287,0.3211218708705344,360
controlled_shared_1d_identity,0,Correct,0.3908295159592898,0.3307292240468894,0.39722222222222225,0.30798278370994764,0.3735945518430078,0.28879447824322646,360
controlled_shared_1d_identity,1,Knee Valgus,0.5603156577796502,0.40633229909427326,0.5,0.4038013813195239,0.41865646150051544,0.32069556242048575,360
controlled_shared_1d_identity,2,Butt Wink,0.7758158526005136,0.22025858163802917,0.7055555555555555,0.331615946242742,0.6342100970303709,0.24037385576165446,360
controlled_shared_1d_identity,3,Excessive Lean,0.4752552539575243,0.3355167157171656,0.42777777777777776,0.3367418324598164,0.4222511964524088,0.30210018770068897,360
controlled_shared_1d_identity,4,Partial Squat,0.8802198227485585,0.1894941739077549,0.7777777777777779,0.33961670479062056,0.7423153813295835,0.2770281595945571,360
controlled_shared_1d_residual,0,Correct,0.6896183085207475,0.32358473874603316,0.7638888888888888,0.337394244976422,0.6835259968911269,0.2971756252982549,360
controlled_shared_1d_residual,1,Knee Valgus,0.8382947274675734,0.229570860385356,0.9361111111111112,0.11279966946803861,0.8545361562260105,0.15456274816388732,360
controlled_shared_1d_residual,2,Butt Wink,0.9199382587635829,0.09378447838196996,0.7000000000000001,0.2140872096444188,0.7620505827462947,0.1794778697251289,360
controlled_shared_1d_residual,3,Excessive Lean,0.9049655892782026,0.11675685977465887,0.7222222222222223,0.27549058373816526,0.7541546836616831,0.2054066356890892,360
controlled_shared_1d_residual,4,Partial Squat,0.9826421565552,0.044318592834509465,0.9249999999999999,0.11334558757279536,0.9478906451508475,0.07003600615577193,360
controlled_shared_1d_residual_identity,0,Correct,0.7342428018356916,0.2880625571175223,0.7499999999999999,0.33541019662496846,0.6883402146616687,0.2922389002463743,360
controlled_shared_1d_residual_identity,1,Knee Valgus,0.8423134205168255,0.20310758614317675,0.9166666666666666,0.10671873729054747,0.8527791150942376,0.12555798020159442,360
controlled_shared_1d_residual_identity,2,Butt Wink,0.8788673136244963,0.13496463303630601,0.7416666666666667,0.21874007914011145,0.7676574377514132,0.14711004449577952,360
controlled_shared_1d_residual_identity,3,Excessive Lean,0.8295615183202268,0.12856079949780996,0.7416666666666666,0.2604749934681297,0.750862937346277,0.18047792395794304,360
controlled_shared_1d_residual_identity,4,Partial Squat,0.9879629629629628,0.03920725066618542,0.8861111111111111,0.13724021474484027,0.9269563186229853,0.08444709234114298,360
controlled_stats_mlp,0,Correct,0.7754570396529805,0.2077583964108174,0.8138888888888889,0.19706566556153274,0.7645657264296221,0.1665344504265839,360
controlled_stats_mlp,1,Knee Valgus,0.9011114221259149,0.1177103968150839,0.9638888888888888,0.0572653559113564,0.9246326256259656,0.06623482054504327,360
controlled_stats_mlp,2,Butt Wink,0.8484408259323007,0.18184478166213489,0.7,0.22852182001336813,0.7158936348519691,0.12577291634641163,360
