scope,model_name,seed,fold_id,test_subject,true_class,pred_class,count
fold,controlled_shared_1d_residual_identity,42,1,1,4,1,0
fold,controlled_shared_1d_residual_identity,42,1,1,4,2,0
fold,controlled_shared_1d_residual_identity,42,1,1,4,3,1
fold,controlled_shared_1d_residual_identity,42,1,1,4,4,19
fold,controlled_2d_cnn,42,1,1,0,0,0
fold,controlled_2d_cnn,42,1,1,0,1,20
fold,controlled_2d_cnn,42,1,1,0,2,0
fold,controlled_2d_cnn,42,1,1,0,3,0
fold,controlled_2d_cnn,42,1,1,0,4,0
fold,controlled_2d_cnn,42,1,1,1,0,0
fold,controlled_2d_cnn,42,1,1,1,1,20
fold,controlled_2d_cnn,42,1,1,1,2,0
fold,controlled_2d_cnn,42,1,1,1,3,0
fold,controlled_2d_cnn,42,1,1,1,4,0
fold,controlled_2d_cnn,42,1,1,2,0,0
fold,controlled_2d_cnn,42,1,1,2,1,20
fold,controlled_2d_cnn,42,1,1,2,2,0
fold,controlled_2d_cnn,42,1,1,2,3,0
fold,controlled_2d_cnn,42,1,1,2,4,0
fold,controlled_2d_cnn,42,1,1,3,0,0
fold,controlled_2d_cnn,42,1,1,3,1,18
fold,controlled_2d_cnn,42,1,1,3,2,0
fold,controlled_2d_cnn,42,1,1,3,3,2
fold,controlled_2d_cnn,42,1,1,3,4,0
fold,controlled_2d_cnn,42,1,1,4,0,0
fold,controlled_2d_cnn,42,1,1,4,1,13
fold,controlled_2d_cnn,42,1,1,4,2,0
fold,controlled_2d_cnn,42,1,1,4,3,5
fold,controlled_2d_cnn,42,1,1,4,4,2
fold,feature_random_forest_v1,42,1,1,0,0,16
fold,feature_random_forest_v1,42,1,1,0,1,2
fold,feature_random_forest_v1,42,1,1,0,2,2
fold,feature_random_forest_v1,42,1,1,0,3,0
fold,feature_random_forest_v1,42,1,1,0,4,0
fold,feature_random_forest_v1,42,1,1,1,0,0
fold,feature_random_forest_v1,42,1,1,1,1,19
fold,feature_random_forest_v1,42,1,1,1,2,1
fold,feature_random_forest_v1,42,1,1,1,3,0
fold,feature_random_forest_v1,42,1,1,1,4,0
fold,feature_random_forest_v1,42,1,1,2,0,0
fold,feature_random_forest_v1,42,1,1,2,1,3
fold,feature_random_forest_v1,42,1,1,2,2,17
fold,feature_random_forest_v1,42,1,1,2,3,0
fold,feature_random_forest_v1,42,1,1,2,4,0
fold,feature_random_forest_v1,42,1,1,3,0,3
fold,feature_random_forest_v1,42,1,1,3,1,4
fold,feature_random_forest_v1,42,1,1,3,2,0
fold,feature_random_forest_v1,42,1,1,3,3,10
fold,feature_random_forest_v1,42,1,1,3,4,3
fold,feature_random_forest_v1,42,1,1,4,0,0
fold,feature_random_forest_v1,42,1,1,4,1,0
fold,feature_random_forest_v1,42,1,1,4,2,0
fold,feature_random_forest_v1,42,1,1,4,3,0
fold,feature_random_forest_v1,42,1,1,4,4,20
fold,feature_linear_svm_v1,42,1,1,0,0,2
fold,feature_linear_svm_v1,42,1,1,0,1,1
fold,feature_linear_svm_v1,42,1,1,0,2,12
fold,feature_linear_svm_v1,42,1,1,0,3,0
fold,feature_linear_svm_v1,42,1,1,0,4,5
fold,feature_linear_svm_v1,42,1,1,1,0,0
fold,feature_linear_svm_v1,42,1,1,1,1,20
fold,feature_linear_svm_v1,42,1,1,1,2,0
fold,feature_linear_svm_v1,42,1,1,1,3,0
fold,feature_linear_svm_v1,42,1,1,1,4,0
fold,feature_linear_svm_v1,42,1,1,2,0,0
fold,feature_linear_svm_v1,42,1,1,2,1,4
fold,feature_linear_svm_v1,42,1,1,2,2,7
fold,feature_linear_svm_v1,42,1,1,2,3,9
fold,feature_linear_svm_v1,42,1,1,2,4,0
fold,feature_linear_svm_v1,42,1,1,3,0,0
fold,feature_linear_svm_v1,42,1,1,3,1,0
fold,feature_linear_svm_v1,42,1,1,3,2,0
fold,feature_linear_svm_v1,42,1,1,3,3,10
fold,feature_linear_svm_v1,42,1,1,3,4,10
fold,feature_linear_svm_v1,42,1,1,4,0,1
fold,feature_linear_svm_v1,42,1,1,4,1,0
fold,feature_linear_svm_v1,42,1,1,4,2,0
fold,feature_linear_svm_v1,42,1,1,4,3,1
fold,feature_linear_svm_v1,42,1,1,4,4,18
fold,rescnn_bigru_attention_lite_v1,42,1,1,0,0,0
