feature_index,feature_name,channel_index,channel_name,statistic,source
108,s0_ax_rms,0,s0_ax,rms,imu_signal
109,s0_ay_rms,1,s0_ay,rms,imu_signal
110,s0_az_rms,2,s0_az,rms,imu_signal
111,s0_gx_rms,3,s0_gx,rms,imu_signal
112,s0_gy_rms,4,s0_gy,rms,imu_signal
113,s0_gz_rms,5,s0_gz,rms,imu_signal
114,s1_ax_rms,6,s1_ax,rms,imu_signal
115,s1_ay_rms,7,s1_ay,rms,imu_signal
116,s1_az_rms,8,s1_az,rms,imu_signal
117,s1_gx_rms,9,s1_gx,rms,imu_signal
118,s1_gy_rms,10,s1_gy,rms,imu_signal
119,s1_gz_rms,11,s1_gz,rms,imu_signal
120,s2_ax_rms,12,s2_ax,rms,imu_signal
121,s2_ay_rms,13,s2_ay,rms,imu_signal
122,s2_az_rms,14,s2_az,rms,imu_signal
123,s2_gx_rms,15,s2_gx,rms,imu_signal
124,s2_gy_rms,16,s2_gy,rms,imu_signal
125,s2_gz_rms,17,s2_gz,rms,imu_signal
126,s0_ax_ptp,0,s0_ax,ptp,imu_signal
127,s0_ay_ptp,1,s0_ay,ptp,imu_signal
128,s0_az_ptp,2,s0_az,ptp,imu_signal
129,s0_gx_ptp,3,s0_gx,ptp,imu_signal
130,s0_gy_ptp,4,s0_gy,ptp,imu_signal
131,s0_gz_ptp,5,s0_gz,ptp,imu_signal
132,s1_ax_ptp,6,s1_ax,ptp,imu_signal
133,s1_ay_ptp,7,s1_ay,ptp,imu_signal
134,s1_az_ptp,8,s1_az,ptp,imu_signal
135,s1_gx_ptp,9,s1_gx,ptp,imu_signal
136,s1_gy_ptp,10,s1_gy,ptp,imu_signal
137,s1_gz_ptp,11,s1_gz,ptp,imu_signal
138,s2_ax_ptp,12,s2_ax,ptp,imu_signal
139,s2_ay_ptp,13,s2_ay,ptp,imu_signal
140,s2_az_ptp,14,s2_az,ptp,imu_signal
141,s2_gx_ptp,15,s2_gx,ptp,imu_signal
142,s2_gy_ptp,16,s2_gy,ptp,imu_signal
143,s2_gz_ptp,17,s2_gz,ptp,imu_signal
144,s0_ax_dominant_freq_bin,0,s0_ax,dominant_freq_bin,imu_signal
145,s0_ay_dominant_freq_bin,1,s0_ay,dominant_freq_bin,imu_signal
146,s0_az_dominant_freq_bin,2,s0_az,dominant_freq_bin,imu_signal
147,s0_gx_dominant_freq_bin,3,s0_gx,dominant_freq_bin,imu_signal
148,s0_gy_dominant_freq_bin,4,s0_gy,dominant_freq_bin,imu_signal
149,s0_gz_dominant_freq_bin,5,s0_gz,dominant_freq_bin,imu_signal
150,s1_ax_dominant_freq_bin,6,s1_ax,dominant_freq_bin,imu_signal
151,s1_ay_dominant_freq_bin,7,s1_ay,dominant_freq_bin,imu_signal
152,s1_az_dominant_freq_bin,8,s1_az,dominant_freq_bin,imu_signal
153,s1_gx_dominant_freq_bin,9,s1_gx,dominant_freq_bin,imu_signal
154,s1_gy_dominant_freq_bin,10,s1_gy,dominant_freq_bin,imu_signal
155,s1_gz_dominant_freq_bin,11,s1_gz,dominant_freq_bin,imu_signal
156,s2_ax_dominant_freq_bin,12,s2_ax,dominant_freq_bin,imu_signal
157,s2_ay_dominant_freq_bin,13,s2_ay,dominant_freq_bin,imu_signal
158,s2_az_dominant_freq_bin,14,s2_az,dominant_freq_bin,imu_signal
159,s2_gx_dominant_freq_bin,15,s2_gx,dominant_freq_bin,imu_signal
160,s2_gy_dominant_freq_bin,16,s2_gy,dominant_freq_bin,imu_signal
161,s2_gz_dominant_freq_bin,17,s2_gz,dominant_freq_bin,imu_signal
