reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
controlled_all_channel_1d_cnn_small,controlled_2d_cnn,macro_f1,-0.31097970648533835,0.15392834106069042,-0.38210911931549885,-0.24036956800152814,18
controlled_all_channel_1d_cnn_small,controlled_all_channel_1d_cnn,macro_f1,0.043240004637980736,0.08516562510939174,0.004024276986800359,0.08274639628982755,18
controlled_all_channel_1d_cnn_small,controlled_flatten_mlp,macro_f1,-0.051564258196282964,0.15637981852657065,-0.12675381864353535,0.018629539946110323,18
controlled_all_channel_1d_cnn_small,controlled_shared_1d,macro_f1,-0.47556573927730056,0.14499195645903812,-0.5393742608853063,-0.40607609444863163,18
controlled_all_channel_1d_cnn_small,controlled_shared_1d_identity,macro_f1,-0.23794897858228964,0.18154644159804464,-0.3253093859799918,-0.15795184661872558,18
controlled_all_channel_1d_cnn_small,controlled_shared_1d_residual,macro_f1,0.04427709672172567,0.19506872008437154,-0.03697001039364736,0.14210606993026811,18
controlled_all_channel_1d_cnn_small,controlled_shared_1d_residual_identity,macro_f1,0.041164688481849426,0.1788542622239902,-0.03259997868205888,0.1320181146386741,18
controlled_all_channel_1d_cnn_small,controlled_stats_mlp,macro_f1,0.061229454815128107,0.18467049684354886,-0.016394677608123485,0.15438061611093706,18
controlled_all_channel_1d_cnn_small,feature_linear_svm_v1,macro_f1,-0.034827597985460916,0.11034201927417797,-0.08140692012873023,0.02013098116478123,18
controlled_all_channel_1d_cnn_small,feature_random_forest_v1,macro_f1,0.028370476264724317,0.13085894018179928,-0.025813254450900637,0.0943079396848216,18
controlled_all_channel_1d_cnn_small,lee_style_cnn_lstm_2d_v1,macro_f1,-0.12926058647106903,0.13381033395043104,-0.1897974591012799,-0.06688071172083601,18
controlled_all_channel_1d_cnn_small,rescnn_bigru_attention_lite_v1,macro_f1,0.012976298326039172,0.13986631044594788,-0.047995250593717106,0.08038076568573173,18
feature_random_forest_v1,controlled_2d_cnn,macro_f1,-0.33935018275006257,0.1673336507249972,-0.41868602528385335,-0.2623525226169666,18
feature_random_forest_v1,controlled_all_channel_1d_cnn,macro_f1,0.014869528373256415,0.10691397472786036,-0.03305514725712108,0.06636590100124054,18
feature_random_forest_v1,controlled_all_channel_1d_cnn_small,macro_f1,-0.028370476264724317,0.13085894018179928,-0.09430793968482161,0.025813254450900627,18
feature_random_forest_v1,controlled_flatten_mlp,macro_f1,-0.0799347344610073,0.2165739302699326,-0.18269281018655367,0.018324281088983672,18
feature_random_forest_v1,controlled_shared_1d,macro_f1,-0.503936215542025,0.09549627626288099,-0.5500532008555253,-0.4610696567816869,18
feature_random_forest_v1,controlled_shared_1d_identity,macro_f1,-0.2663194548470139,0.15755525823616642,-0.34108660645101235,-0.1948229476291811,18
feature_random_forest_v1,controlled_shared_1d_residual,macro_f1,0.015906620457001357,0.08621795028664352,-0.02222843843944818,0.058878490819961916,18
feature_random_forest_v1,controlled_shared_1d_residual_identity,macro_f1,0.01279421221712511,0.06716530450973919,-0.01820285002770783,0.043834812825319244,18
feature_random_forest_v1,controlled_stats_mlp,macro_f1,0.03285897855040379,0.11123964506507959,-0.016590873195947913,0.08673835798913435,18
feature_random_forest_v1,feature_linear_svm_v1,macro_f1,-0.06319807425018523,0.08843710539819687,-0.10571486383805578,-0.022984067169417824,18
feature_random_forest_v1,lee_style_cnn_lstm_2d_v1,macro_f1,-0.15763106273579333,0.21587449551014426,-0.25855102787668743,-0.05981016840759395,18
feature_random_forest_v1,rescnn_bigru_attention_lite_v1,macro_f1,-0.015394177938685145,0.1320240116392465,-0.07612274509061207,0.04504723907056869,18
feature_xgboost_v1,controlled_2d_cnn,macro_f1,0.0,0.0,0.0,0.0,0
feature_xgboost_v1,controlled_all_channel_1d_cnn,macro_f1,0.0,0.0,0.0,0.0,0
