model_name,seed,fold_id,test_subject,feature_index,feature_name,channel_name,statistic,importance
feature_random_forest_v1,42,1,1,143,s2_gz_ptp,s2_gz,ptp,0.0027262515034779523
feature_random_forest_v1,42,1,1,144,s0_ax_dominant_freq_bin,s0_ax,dominant_freq_bin,0.0008274420707076254
feature_random_forest_v1,42,1,1,145,s0_ay_dominant_freq_bin,s0_ay,dominant_freq_bin,0.001375441989617825
feature_random_forest_v1,42,1,1,146,s0_az_dominant_freq_bin,s0_az,dominant_freq_bin,0.0
feature_random_forest_v1,42,1,1,147,s0_gx_dominant_freq_bin,s0_gx,dominant_freq_bin,0.0004813846081798462
feature_random_forest_v1,42,1,1,148,s0_gy_dominant_freq_bin,s0_gy,dominant_freq_bin,0.0009029088728918713
feature_random_forest_v1,42,1,1,149,s0_gz_dominant_freq_bin,s0_gz,dominant_freq_bin,0.000690419401329956
feature_random_forest_v1,42,1,1,150,s1_ax_dominant_freq_bin,s1_ax,dominant_freq_bin,0.0
feature_random_forest_v1,42,1,1,151,s1_ay_dominant_freq_bin,s1_ay,dominant_freq_bin,0.0
feature_random_forest_v1,42,1,1,152,s1_az_dominant_freq_bin,s1_az,dominant_freq_bin,0.0043872870783578976
feature_random_forest_v1,42,1,1,153,s1_gx_dominant_freq_bin,s1_gx,dominant_freq_bin,0.0009153198016043451
feature_random_forest_v1,42,1,1,154,s1_gy_dominant_freq_bin,s1_gy,dominant_freq_bin,0.0024310921649335292
feature_random_forest_v1,42,1,1,155,s1_gz_dominant_freq_bin,s1_gz,dominant_freq_bin,0.0
feature_random_forest_v1,42,1,1,156,s2_ax_dominant_freq_bin,s2_ax,dominant_freq_bin,0.0007588598367261326
feature_random_forest_v1,42,1,1,157,s2_ay_dominant_freq_bin,s2_ay,dominant_freq_bin,0.0
feature_random_forest_v1,42,1,1,158,s2_az_dominant_freq_bin,s2_az,dominant_freq_bin,0.0006599906364018425
feature_random_forest_v1,42,1,1,159,s2_gx_dominant_freq_bin,s2_gx,dominant_freq_bin,0.0020029583958092183
feature_random_forest_v1,42,1,1,160,s2_gy_dominant_freq_bin,s2_gy,dominant_freq_bin,0.005184355209256805
feature_random_forest_v1,42,1,1,161,s2_gz_dominant_freq_bin,s2_gz,dominant_freq_bin,0.00017677687803667905
feature_random_forest_v1,42,2,2,0,s0_ax_mean,s0_ax,mean,0.03136774004151223
feature_random_forest_v1,42,2,2,1,s0_ay_mean,s0_ay,mean,0.007599798200560366
feature_random_forest_v1,42,2,2,2,s0_az_mean,s0_az,mean,0.008270867540717998
feature_random_forest_v1,42,2,2,3,s0_gx_mean,s0_gx,mean,0.0009538450596075885
feature_random_forest_v1,42,2,2,4,s0_gy_mean,s0_gy,mean,0.0011866347606312648
feature_random_forest_v1,42,2,2,5,s0_gz_mean,s0_gz,mean,0.0007008859890491182
feature_random_forest_v1,42,2,2,6,s1_ax_mean,s1_ax,mean,0.04265629396365113
feature_random_forest_v1,42,2,2,7,s1_ay_mean,s1_ay,mean,0.004034618852539855
feature_random_forest_v1,42,2,2,8,s1_az_mean,s1_az,mean,0.009834797559758798
feature_random_forest_v1,42,2,2,9,s1_gx_mean,s1_gx,mean,0.0453328993956857
feature_random_forest_v1,42,2,2,10,s1_gy_mean,s1_gy,mean,0.03033123098704409
feature_random_forest_v1,42,2,2,11,s1_gz_mean,s1_gz,mean,0.001854376606308866
feature_random_forest_v1,42,2,2,12,s2_ax_mean,s2_ax,mean,0.005354473549048
feature_random_forest_v1,42,2,2,13,s2_ay_mean,s2_ay,mean,0.003873844771502219
feature_random_forest_v1,42,2,2,14,s2_az_mean,s2_az,mean,0.005085306469813241
feature_random_forest_v1,42,2,2,15,s2_gx_mean,s2_gx,mean,0.0012663344374065522
feature_random_forest_v1,42,2,2,16,s2_gy_mean,s2_gy,mean,0.017625364507218938
feature_random_forest_v1,42,2,2,17,s2_gz_mean,s2_gz,mean,0.0010403225257202976
feature_random_forest_v1,42,2,2,18,s0_ax_std,s0_ax,std,0.0048471802292373
feature_random_forest_v1,42,2,2,19,s0_ay_std,s0_ay,std,0.0013023617872911617
feature_random_forest_v1,42,2,2,20,s0_az_std,s0_az,std,0.015778809473575066
feature_random_forest_v1,42,2,2,21,s0_gx_std,s0_gx,std,0.0008824042740573293
