subject_id,channel_index,channel_name,sensor_name,modality_name,axis_name,mean_attention_weight,std_attention_weight,min_attention_weight,max_attention_weight,n
3,15,s2_gx,s2_right_calf,gyro,x,0.004025170578194472,0.002679835838101262,0.0002444750571157783,0.014883470721542835,300
3,4,s0_gy,s0_lower_back,gyro,y,0.0032185025432651553,0.0018574162361174296,0.00017246890638489276,0.011216209270060062,300
3,5,s0_gz,s0_lower_back,gyro,z,0.003002447044952229,0.001959420677470605,0.00017086455773096532,0.011369192972779274,300
3,16,s2_gy,s2_right_calf,gyro,y,0.0027243915288515078,0.0019165476510147423,0.0001783048501238227,0.011157983914017677,300
3,17,s2_gz,s2_right_calf,gyro,z,0.0025972890818957237,0.002717365562317835,0.0002193459076806903,0.015234452672302723,300
4,6,s1_ax,s1_right_thigh,acc,x,0.43384886636088293,0.3407164791542584,0.018469493836164474,0.9289954900741577,300
4,1,s0_ay,s0_lower_back,acc,y,0.21765862063621172,0.2913999420905643,0.001480120699852705,0.6678082346916199,300
4,12,s2_ax,s2_right_calf,acc,x,0.11305717265136385,0.2149529096886386,0.0008698336314409971,0.9241822361946106,300
4,13,s2_ay,s2_right_calf,acc,y,0.06067057925257056,0.0758215647886616,0.0008806120022200048,0.38559529185295105,300
4,8,s1_az,s1_right_thigh,acc,z,0.059730355082429014,0.08337819282469734,0.0008644848130643368,0.3255293369293213,300
4,0,s0_ax,s0_lower_back,acc,x,0.03771141689736396,0.05476236523876766,0.002951302332803607,0.4179784655570984,300
4,7,s1_ay,s1_right_thigh,acc,y,0.02328685267692587,0.024928769017974937,0.0005793568561784923,0.1954827904701233,300
4,2,s0_az,s0_lower_back,acc,z,0.013218694083140387,0.015023518306153418,0.0003955302236136049,0.04577374830842018,300
4,14,s2_az,s2_right_calf,acc,z,0.009547744401885817,0.008953444100579242,0.0021240098867565393,0.07013929635286331,300
4,9,s1_gx,s1_right_thigh,gyro,x,0.00573184947007879,0.006203990135800117,0.00036443842691369355,0.028549015522003174,300
4,10,s1_gy,s1_right_thigh,gyro,y,0.005131726201507263,0.0039279964689340665,0.0002823586983140558,0.020342860370874405,300
4,4,s0_gy,s0_lower_back,gyro,y,0.00452760440093698,0.004571964223916239,0.00025078942417167127,0.014508835971355438,300
4,16,s2_gy,s2_right_calf,gyro,y,0.003286730345377388,0.0030232969179587992,0.0002668102097231895,0.010334708727896214,300
4,11,s1_gz,s1_right_thigh,gyro,z,0.003128108805103693,0.0027598722188328707,0.00030149423400871456,0.013340442441403866,300
4,3,s0_gx,s0_lower_back,gyro,x,0.00289008928462863,0.0018348272861609055,0.0002991646761074662,0.006569897290319204,300
4,15,s2_gx,s2_right_calf,gyro,x,0.0028115639882162215,0.001835238276776732,0.00039097529952414334,0.006504802033305168,300
4,5,s0_gz,s0_lower_back,gyro,z,0.0020572768664957647,0.001085991673649828,0.00027002685237675905,0.004148877691477537,300
4,17,s2_gz,s2_right_calf,gyro,z,0.0017047464102506638,0.0008036041625893018,0.00032299160375259817,0.0046977088786661625,300
5,6,s1_ax,s1_right_thigh,acc,x,0.3361048528295942,0.3549287735897916,0.0009814755758270621,0.9649173021316528,300
5,1,s0_ay,s0_lower_back,acc,y,0.20303451638896755,0.3149155246815502,0.00016339324065484107,0.9057040214538574,300
5,0,s0_ax,s0_lower_back,acc,x,0.14061546604828132,0.18995830459174612,0.0005041822441853583,0.8635649085044861,300
5,13,s2_ay,s2_right_calf,acc,y,0.13520772301097167,0.18207101910807016,0.00017860857769846916,0.7598509788513184,300
5,8,s1_az,s1_right_thigh,acc,z,0.092141063271168,0.12336321829879095,0.0002063764404738322,0.40693244338035583,300
5,12,s2_ax,s2_right_calf,acc,x,0.05842144790260742,0.10211957563438633,0.00024320775992237031,0.47941839694976807,300
5,2,s0_az,s0_lower_back,acc,z,0.013898841720122922,0.022772575546418358,4.5463333663064986e-05,0.12223033607006073,300
5,7,s1_ay,s1_right_thigh,acc,y,0.0033095565861488772,0.003624609565571147,9.389462502440438e-05,0.018451068550348282,300
5,16,s2_gy,s2_right_calf,gyro,y,0.0023131327354955528,0.006232414661375098,4.519917274592444e-05,0.06000354140996933,300
5,10,s1_gy,s1_right_thigh,gyro,y,0.0022625109378956645,0.011580360380538406,7.510979048674926e-05,0.1956256926059723,300
5,9,s1_gx,s1_right_thigh,gyro,x,0.002253027795741218,0.003959518847289994,7.784987974446267e-05,0.04702796787023544,300
5,3,s0_gx,s0_lower_back,gyro,x,0.002222192369760402,0.010100832584091175,3.6589943192666396e-05,0.1716785430908203,300
5,4,s0_gy,s0_lower_back,gyro,y,0.0021723771756417894,0.003491700235969863,3.717055369634181e-05,0.018321990966796875,300
5,14,s2_az,s2_right_calf,acc,z,0.0018258385424269363,0.0016369961009586047,0.00034729167236946523,0.00870458222925663,300
5,5,s0_gz,s0_lower_back,gyro,z,0.0012435365322198777,0.0018089766165476347,3.0265420718933456e-05,0.008670683950185776,300
5,15,s2_gx,s2_right_calf,gyro,x,0.0010810918701705911,0.0015751331902718907,5.621564559987746e-05,0.007880043238401413,300
