class_id,channel_index,channel_name,sensor_name,modality_name,axis_name,mean_attention_weight,std_attention_weight,min_attention_weight,max_attention_weight,n
1,12,s2_ax,s2_right_calf,acc,x,0.04916114862652547,0.08493375388037563,0.0003191195719409734,0.5535411834716797,360
1,7,s1_ay,s1_right_thigh,acc,y,0.04758151037818203,0.1452658991112197,0.00023719096498098224,0.9173416495323181,360
1,2,s0_az,s0_lower_back,acc,z,0.011051300291344685,0.014869312458394023,4.5463333663064986e-05,0.10458377748727798,360
1,9,s1_gx,s1_right_thigh,gyro,x,0.00495555430825334,0.004906390749735942,0.0005231999093666673,0.04573563486337662,360
1,10,s1_gy,s1_right_thigh,gyro,y,0.003987561396125885,0.010592832985393543,0.0002973181544803083,0.1956256926059723,360
1,16,s2_gy,s2_right_calf,gyro,y,0.0039002231817802466,0.005881330453794615,0.00016902633069548756,0.06000354140996933,360
1,4,s0_gy,s0_lower_back,gyro,y,0.0037194999231663435,0.004161030801876462,3.717055369634181e-05,0.02090371400117874,360
1,3,s0_gx,s0_lower_back,gyro,x,0.0033230994379967647,0.002166738566839629,6.199298513820395e-05,0.010346032679080963,360
1,15,s2_gx,s2_right_calf,gyro,x,0.0031156275850864608,0.0029453456328537323,0.00010909993579844013,0.01653185486793518,360
1,11,s1_gz,s1_right_thigh,gyro,z,0.0029432769990004695,0.002926309132518203,5.3900661441730335e-05,0.019658751785755157,360
1,5,s0_gz,s0_lower_back,gyro,z,0.0025583798347270205,0.0017949906210489855,3.0265420718933456e-05,0.00783582217991352,360
1,17,s2_gz,s2_right_calf,gyro,z,0.0023430602785689796,0.002805576564158742,0.00011003386316588148,0.015016582794487476,360
2,6,s1_ax,s1_right_thigh,acc,x,0.3565423078810757,0.36300694606568035,0.0009670106810517609,0.9862193465232849,360
2,1,s0_ay,s0_lower_back,acc,y,0.23523966097648857,0.3114356289123235,0.00018312597239855677,0.817148745059967,360
2,7,s1_ay,s1_right_thigh,acc,y,0.10390301283540693,0.24725074033020267,9.389462502440438e-05,0.9850991368293762,360
2,8,s1_az,s1_right_thigh,acc,z,0.07412302707849044,0.12878345979287126,0.00029586540767923,0.6450971961021423,360
2,0,s0_ax,s0_lower_back,acc,x,0.06818166058575217,0.09386530467238004,0.000950683606788516,0.5402867197990417,360
2,13,s2_ay,s2_right_calf,acc,y,0.04796257482379992,0.06692843380590908,0.00023750985565129668,0.28026971220970154,360
2,12,s2_ax,s2_right_calf,acc,x,0.03374832324520361,0.05594846975230192,0.00031249976018443704,0.34910324215888977,360
2,14,s2_az,s2_right_calf,acc,z,0.03120944383360135,0.1047328145960575,0.00028978040791116655,0.5443668961524963,360
2,2,s0_az,s0_lower_back,acc,z,0.012074128947440638,0.015262869174549146,4.775293200509623e-05,0.08828414231538773,360
2,9,s1_gx,s1_right_thigh,gyro,x,0.008127507544910866,0.013506547688282897,0.00010897009633481503,0.06529669463634491,360
2,10,s1_gy,s1_right_thigh,gyro,y,0.005247244960911404,0.0072855232336267815,7.510979048674926e-05,0.037404753267765045,360
