model_name,total_params,encoder_params,aggregation_params,head_params,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,macro_f1_ci_low,macro_f1_ci_high,mean_best_epoch,n_success_runs,n_failed_runs,result_type
channel_shared_posres_attention_v3_no_identity,13910,2064,7361,4485,0.7816666666666667,0.10018039284765813,0.7674576626717379,0.11912448549831615,0.7674576626717379,0.11912448549831617,0.7112379886681212,0.8195476683329632,38.55555555555556,18,0,v3_component_ablation_readonly
transformer_encoder_lite_v1,39173,38832,0,341,0.7883333333333333,0.11739061101960223,0.7580488000668537,0.14321205869661557,0.7580488000668537,0.14321205869661557,0.6859914703966926,0.8188456608523291,12.11111111111111,18,0,literature_full_extension_readonly
controlled_all_channel_1d_cnn_small,11317,4720,2112,4485,0.7805555555555557,0.13721322507616557,0.7561545162134669,0.1560104084958384,0.7561545162134669,0.1560104084958384,0.6785924371587754,0.824194502452898,23.0,18,0,controlled_feature_extractor_3seed_full
all_channel_conv1d_v1,16037,15712,0,325,0.783888888888889,0.1781740375428502,0.7531393987017094,0.20875422275948866,0.7531393987017094,0.2087542227594886,0.650168423737199,0.8429069579155765,17.72222222222222,18,0,locked_full_supervised_matrix_readonly
feature_linear_svm_v1,0,0,0,0,0.746111111111111,0.11562097507175421,0.721326918228006,0.13056563920600575,0.721326918228006,0.13056563920600578,0.6612486782916431,0.7828279485470191,0.0,18,0,controlled_feature_extractor_3seed_full
feature_linear_svm_v1,0,0,0,0,0.746111111111111,0.11562097507175421,0.721326918228006,0.13056563920600575,0.721326918228006,0.13056563920600578,0.6612486782916431,0.7828279485470191,0.0,18,0,literature_full_extension_readonly
tcn_literature_v1,32069,31904,0,165,0.7561111111111111,0.18254798117782287,0.7150783911240796,0.22143355162705988,0.7150783911240796,0.22143355162705985,0.6089775470524388,0.8154748865333296,15.722222222222221,18,0,literature_full_extension_readonly
controlled_flatten_mlp,594373,0,589888,4485,0.7344444444444443,0.18622633249242773,0.7045902580171839,0.2285916002637764,0.7045902580171839,0.22859160026377642,0.5953125642450013,0.8074428108834005,11.333333333333334,18,0,controlled_feature_extractor_3seed_full
lee_style_cnn_lstm_2d_v1,62637,10728,0,2245,0.6622222222222222,0.16975654317468084,0.6268939297423978,0.2077630015513347,0.6268939297423979,0.20776300155133473,0.523712503243493,0.7165242396496089,37.0,18,0,controlled_feature_extractor_3seed_full
lee_style_cnn_lstm_2d_v1,62637,10728,0,2245,0.6622222222222222,0.16975654317468084,0.6268939297423978,0.2077630015513347,0.6268939297423979,0.20776300155133473,0.523712503243493,0.7165242396496089,37.0,18,0,literature_full_extension_readonly
modality_shared_sensorattn_v3,16103,4128,9730,2245,0.6444444444444444,0.18547902613449982,0.6023492027344007,0.21209795462825212,0.6023492027344007,0.2120979546282521,0.500320234965126,0.6944303967558907,79.22222222222223,18,0,locked_full_supervised_matrix_readonly
channel_shared_posres_attention_v3_no_residual,5942,2064,1441,2437,0.6261111111111112,0.17515513406022193,0.5937198740587896,0.1956182379603871,0.5937198740587896,0.1956182379603871,0.49984587159414406,0.6842315043326749,74.94444444444444,18,0,v3_component_ablation_readonly
cnn_lstm_literature_v1,15645,7032,0,165,0.5755555555555555,0.19012341670674582,0.5324827234303142,0.21657279636727989,0.5324827234303142,0.21657279636727989,0.4297629886454323,0.63338006687807,60.111111111111114,18,0,literature_full_extension_readonly
