module_path,module_type,input_shape,output_shape,param_count,model_internal_name,model_display_name,layer_index
extractor.residual_projection.1,ReLU,"(2, 64)","(2, 64)",0,controlled_shared_1d_residual,Residual Channel-Shared Encoder,10
extractor.fusion_projection.0,Linear,"(2, 128)","(2, 64)",8256,controlled_shared_1d_residual,Residual Channel-Shared Encoder,11
extractor.fusion_projection.1,ReLU,"(2, 64)","(2, 64)",0,controlled_shared_1d_residual,Residual Channel-Shared Encoder,12
classifier.net.0,Linear,"(2, 64)","(2, 64)",4160,controlled_shared_1d_residual,Residual Channel-Shared Encoder,13
classifier.net.1,ReLU,"(2, 64)","(2, 64)",0,controlled_shared_1d_residual,Residual Channel-Shared Encoder,14
classifier.net.2,Dropout,"(2, 64)","(2, 64)",0,controlled_shared_1d_residual,Residual Channel-Shared Encoder,15
classifier.net.3,Linear,"(2, 64)","(2, 5)",325,controlled_shared_1d_residual,Residual Channel-Shared Encoder,16
extractor.shared_encoder.net.0,Conv1d,"(36, 1, 512)","(36, 16, 512)",160,controlled_shared_1d_residual_identity,Residual Channel-Shared + Identity,1
extractor.shared_encoder.net.1,BatchNorm1d,"(36, 16, 512)","(36, 16, 512)",32,controlled_shared_1d_residual_identity,Residual Channel-Shared + Identity,2
extractor.shared_encoder.net.2,ReLU,"(36, 16, 512)","(36, 16, 512)",0,controlled_shared_1d_residual_identity,Residual Channel-Shared + Identity,3
extractor.shared_encoder.net.3,Conv1d,"(36, 16, 512)","(36, 16, 512)",1296,controlled_shared_1d_residual_identity,Residual Channel-Shared + Identity,4
extractor.shared_encoder.net.4,BatchNorm1d,"(36, 16, 512)","(36, 16, 512)",32,controlled_shared_1d_residual_identity,Residual Channel-Shared + Identity,5
extractor.shared_encoder.net.5,ReLU,"(36, 16, 512)","(36, 16, 512)",0,controlled_shared_1d_residual_identity,Residual Channel-Shared + Identity,6
extractor.shared_encoder.net.6,AdaptiveAvgPool1d,"(36, 16, 512)","(36, 16, 1)",0,controlled_shared_1d_residual_identity,Residual Channel-Shared + Identity,7
