feature_name,channel_index,channel_name,statistic,used_by,source,uses_metadata,uses_label,uses_subject_id,allowed
s0_gy_min,4,s0_gy,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gz_min,5,s0_gz,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_ax_min,6,s1_ax,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_ay_min,7,s1_ay,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_az_min,8,s1_az,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gx_min,9,s1_gx,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gy_min,10,s1_gy,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gz_min,11,s1_gz,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_ax_min,12,s2_ax,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_ay_min,13,s2_ay,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_az_min,14,s2_az,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gx_min,15,s2_gx,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gy_min,16,s2_gy,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gz_min,17,s2_gz,min,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_ax_max,0,s0_ax,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_ay_max,1,s0_ay,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_az_max,2,s0_az,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gx_max,3,s0_gx,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gy_max,4,s0_gy,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gz_max,5,s0_gz,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_ax_max,6,s1_ax,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_ay_max,7,s1_ay,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_az_max,8,s1_az,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gx_max,9,s1_gx,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gy_max,10,s1_gy,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gz_max,11,s1_gz,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_ax_max,12,s2_ax,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_ay_max,13,s2_ay,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_az_max,14,s2_az,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gx_max,15,s2_gx,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gy_max,16,s2_gy,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gz_max,17,s2_gz,max,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
