fold_id,model_name,scaler_fit_n_windows,scaler_fit_subjects,scaler_fit_indices_hash,val_indices_used_in_scaler,test_indices_used_in_scaler,scaler_leakage_check_passed,seed
1,channel_shared_attentionpool_v2,400,2|3|4|5|6,17ffee0d84497e0c298b7d75d2d80cd0d45b7d3e349f402ba03c43dec07571df,False,False,True,123
1,channel_shared_posres_attention_v3,400,2|3|4|5|6,17ffee0d84497e0c298b7d75d2d80cd0d45b7d3e349f402ba03c43dec07571df,False,False,True,123
1,modality_shared_sensorattn_v3,400,2|3|4|5|6,17ffee0d84497e0c298b7d75d2d80cd0d45b7d3e349f402ba03c43dec07571df,False,False,True,123
2,all_channel_conv1d_v1,400,1|3|4|5|6,1da2dd881b67e6218bdf8052c0c97334d3eaf6062eb8d8762fe7ff25b947f884,False,False,True,123
2,all_channel_conv1d_small,400,1|3|4|5|6,1da2dd881b67e6218bdf8052c0c97334d3eaf6062eb8d8762fe7ff25b947f884,False,False,True,123
2,cnn2d_baseline_v1,400,1|3|4|5|6,1da2dd881b67e6218bdf8052c0c97334d3eaf6062eb8d8762fe7ff25b947f884,False,False,True,123
2,channel_shared_meanpool_v2,400,1|3|4|5|6,1da2dd881b67e6218bdf8052c0c97334d3eaf6062eb8d8762fe7ff25b947f884,False,False,True,123
2,channel_shared_attentionpool_v2,400,1|3|4|5|6,1da2dd881b67e6218bdf8052c0c97334d3eaf6062eb8d8762fe7ff25b947f884,False,False,True,123
2,channel_shared_posres_attention_v3,400,1|3|4|5|6,1da2dd881b67e6218bdf8052c0c97334d3eaf6062eb8d8762fe7ff25b947f884,False,False,True,123
2,modality_shared_sensorattn_v3,400,1|3|4|5|6,1da2dd881b67e6218bdf8052c0c97334d3eaf6062eb8d8762fe7ff25b947f884,False,False,True,123
3,all_channel_conv1d_v1,400,1|2|4|5|6,be733749006f7dee65874501ce428eabe93582ee6fefb516b144a21bf0e6202a,False,False,True,123
3,all_channel_conv1d_small,400,1|2|4|5|6,be733749006f7dee65874501ce428eabe93582ee6fefb516b144a21bf0e6202a,False,False,True,123
3,cnn2d_baseline_v1,400,1|2|4|5|6,be733749006f7dee65874501ce428eabe93582ee6fefb516b144a21bf0e6202a,False,False,True,123
3,channel_shared_meanpool_v2,400,1|2|4|5|6,be733749006f7dee65874501ce428eabe93582ee6fefb516b144a21bf0e6202a,False,False,True,123
3,channel_shared_attentionpool_v2,400,1|2|4|5|6,be733749006f7dee65874501ce428eabe93582ee6fefb516b144a21bf0e6202a,False,False,True,123
3,channel_shared_posres_attention_v3,400,1|2|4|5|6,be733749006f7dee65874501ce428eabe93582ee6fefb516b144a21bf0e6202a,False,False,True,123
3,modality_shared_sensorattn_v3,400,1|2|4|5|6,be733749006f7dee65874501ce428eabe93582ee6fefb516b144a21bf0e6202a,False,False,True,123
4,all_channel_conv1d_v1,400,1|2|3|5|6,23ca5c6209e5af960dda6c796d260484343549b2a9106b600208e458d0f19e12,False,False,True,123
4,all_channel_conv1d_small,400,1|2|3|5|6,23ca5c6209e5af960dda6c796d260484343549b2a9106b600208e458d0f19e12,False,False,True,123
4,cnn2d_baseline_v1,400,1|2|3|5|6,23ca5c6209e5af960dda6c796d260484343549b2a9106b600208e458d0f19e12,False,False,True,123
4,channel_shared_meanpool_v2,400,1|2|3|5|6,23ca5c6209e5af960dda6c796d260484343549b2a9106b600208e458d0f19e12,False,False,True,123
4,channel_shared_attentionpool_v2,400,1|2|3|5|6,23ca5c6209e5af960dda6c796d260484343549b2a9106b600208e458d0f19e12,False,False,True,123
4,channel_shared_posres_attention_v3,400,1|2|3|5|6,23ca5c6209e5af960dda6c796d260484343549b2a9106b600208e458d0f19e12,False,False,True,123
4,modality_shared_sensorattn_v3,400,1|2|3|5|6,23ca5c6209e5af960dda6c796d260484343549b2a9106b600208e458d0f19e12,False,False,True,123
5,all_channel_conv1d_v1,400,1|2|3|4|6,397e73422065df4cd2ae29af9843754cedeaa816c3a917209a3fca6b4f9c8142,False,False,True,123
5,all_channel_conv1d_small,400,1|2|3|4|6,397e73422065df4cd2ae29af9843754cedeaa816c3a917209a3fca6b4f9c8142,False,False,True,123
5,cnn2d_baseline_v1,400,1|2|3|4|6,397e73422065df4cd2ae29af9843754cedeaa816c3a917209a3fca6b4f9c8142,False,False,True,123
5,channel_shared_meanpool_v2,400,1|2|3|4|6,397e73422065df4cd2ae29af9843754cedeaa816c3a917209a3fca6b4f9c8142,False,False,True,123
